R;S;G;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
D;LAZIO;RADU Stefan;3;29;5.98;6.05;2;1;10;0;0;0;0;0
D;ATALANTA;RAIMONDI Cristian;3;6;5.67;5.42;0;0;3;0;0;0;0;0
D;PALERMO;RAJKOVIC Slobodan;3;4;5.75;5.5;0;0;0;1;0;0;0;0
D;INTER;RANOCCHIA Andrea;1;5;5.2;5;0;0;2;0;0;0;0;0
D;SAMPDORIA;REGINI Vasco;3;34;5.59;5.63;0;4;5;0;0;0;0;0
D;PALERMO;RISPOLI Andrea;4;32;6.06;6.64;6;3;5;0;0;0;0;0
D;FIORENTINA;RODRIGUEZ Gonzalo;3;25;5.64;5.59;1;0;6;2;0;0;0;0
D;MILAN;ROMAGNOLI Alessio;4;26;6;6.04;1;1;4;1;0;0;0;0
D;CROTONE;ROSI Aleandro;3;30;5.87;5.81;1;1;12;0;0;0;0;0
D;TORINO;ROSSETTINI Luca;3;30;5.7;5.67;1;0;8;0;0;0;0;0
D;ROMA;RUDIGER Antonio;3;25;5.96;5.86;0;2;7;1;0;0;0;0
D;JUVENTUS;RUGANI Daniele;5;13;6.38;6.64;2;0;4;0;0;0;0;0
D;INTER;SAINSBURY Trent;1;1;6;5.5;0;0;1;0;0;0;0;0
D;CAGLIARI;SALAMON Bartosz;3;10;5.8;5.75;0;0;1;0;0;0;0;0
D;FIORENTINA;SALCEDO Carlos;3;16;5.59;5.5;0;1;7;0;0;0;0;0
D;UDINESE;SAMIR;4;21;6.07;6.05;0;1;3;0;0;0;0;0
D;CROTONE;SAMPIRISI Mario;3;19;5.61;5.8;1;1;1;0;0;0;0;0
D;INTER;SANTON Davide;2;12;5.46;5.5;0;1;1;0;0;0;0;0
D;UDINESE;SILVA Gabriel;1;4;5.5;5.25;0;0;2;0;0;0;0;0
D;SAMPDORIA;SILVESTRE Matias;4;36;6.03;6.03;0;2;2;1;0;0;0;0
D;SAMPDORIA;SKRINIAR Milan;3;35;5.87;5.77;0;0;5;1;0;0;0;0
D;CHIEVO;SPOLLI Nicolas;3;20;5.9;5.7;0;0;8;0;0;0;0;0
D;PESCARA;STENDARDO Guglielmo;2;8;5.12;5.17;0;0;1;0;0;0;0;0
D;NAPOLI;STRINIC Ivan;4;12;6;6.04;0;2;3;0;0;0;0;0
D;PALERMO;SUNJIC Toni;2;4;5.5;5.38;0;0;1;0;0;0;0;0
D;SASSUOLO;TERRANOVA Emanuele;2;3;5.5;5.5;0;0;0;0;0;0;0;0
D;ATALANTA;TOLOI Rafael;4;31;6.19;6.08;0;0;7;0;0;0;0;0
D;FIORENTINA;TOMOVIC Nenad;2;23;5.54;5.42;0;1;11;0;0;0;0;0
D;NAPOLI;TONELLI Lorenzo;4;3;6.17;7.83;2;0;2;0;0;0;0;0
D;BOLOGNA;TOROSIDIS Vasilios;3;23;5.48;5.48;1;0;5;1;0;0;0;0
D;MILAN;VANGIONI Leonel;4;11;5.82;5.71;0;0;3;0;0;0;0;0
D;ROMA;VERMAELEN Thomas;3;5;5.5;5.4;0;0;1;0;0;0;0;0
D;EMPOLI;VESELI Frederic;2;17;5.5;5.53;0;2;3;0;0;0;0;0
D;PALERMO;VITIELLO Roberto;2;5;5.4;5.3;0;0;1;0;0;0;0;0
D;PESCARA;VITTURINI Davide;2;3;5.17;5.38;0;0;0;0;0;0;0;0
D;UDINESE;WAGUE Molla;3;6;5.67;5.5;0;0;2;0;0;0;0;0
D;LAZIO;WALLACE;3;21;5.6;5.67;1;0;3;0;0;0;0;0
D;UDINESE;WIDMER Silvan;4;28;5.77;5.88;0;4;2;0;0;0;0;0
D;EMPOLI;ZAMBELLI Marco;3;9;5.61;5.56;0;0;1;0;0;0;0;0
D;PESCARA;ZAMPANO Francesco;4;33;5.83;5.96;0;5;2;0;0;0;0;0
D;MILAN;ZAPATA Cristian;3;14;5.75;5.97;1;0;0;0;0;0;0;0
D;TORINO;ZAPPACOSTA Davide;5;28;6.14;6.38;1;4;1;0;0;0;0;0
D;ATALANTA;ZUKANOVIC Ervin;4;18;5.89;5.86;0;0;1;0;0;0;0;0
D;PESCARA;ZUPARIC Dario;5;6;5.75;5.71;0;0;1;0;0;0;0;0
C;TORINO;ACQUAH Afriyie;3;15;5.87;6.03;2;0;2;3;0;0;0;0
C;NAPOLI;ALLAN Marques Loureiro;5;28;6.14;6.3;1;3;3;0;0;0;0;0
C;SAMPDORIA;ALVAREZ Ricardo;2;17;5.71;6;2;1;2;1;0;0;0;0
C;SASSUOLO;AQUILANI Alberto;2;23;5.8;5.85;1;1;4;1;0;0;0;0
C;TORINO;ARAMU Mattia;5;1;6;6;0;0;0;0;0;0;0;0
C;JUVENTUS;ASAMOAH Kwadwo;5;16;6.09;6.09;0;1;2;0;0;0;0;0
C;FIORENTINA;BADELJ Milan;4;29;5.91;6.06;2;2;7;0;0;0;0;0
C;UDINESE;BADU Emmanuel Agyemang;3;28;5.66;5.7;0;2;2;0;0;0;0;0
C;UDINESE;BALIC Andrija;5;4;6.5;7.12;1;0;1;0;0;0;0;0
C;INTER;BANEGA Ever;3;24;5.79;6.75;6;7;2;1;0;0;0;0
C;CROTONE;BARBERIS Andrea;3;24;5.9;5.96;0;3;3;0;0;0;0;0
C;CAGLIARI;BARELLA Nicolo’;3;26;5.88;5.77;0;2;9;1;0;0;0;0
C;SAMPDORIA;BARRETO Edgar Osvaldo;4;32;6.02;6.11;2;0;4;1;0;0;0;0
C;TORINO;BASELLI Daniele;3;33;5.95;6.5;6;3;6;0;0;0;0;0
C;CHIEVO;BASTIEN Samuel;3;12;5.75;6;1;0;0;0;0;0;0;0
C;PESCARA;BENALI Ahmad;3;32;5.97;6.5;6;2;3;1;0;0;0;0
C;TORINO;BENASSI Marco;4;27;5.91;6.44;5;2;5;0;0;0;0;0
C;FIORENTINA;BERNARDESCHI Federico;5;31;6.35;7.2;11;2;5;1;0;0;1;0
C;MILAN;BERTOLACCI Andrea;4;13;5.88;6;1;0;3;0;0;0;0;0
C;LAZIO;BIGLIA Lucas Rodrigo;3;28;6.07;6.25;4;3;8;0;0;0;2;0
C;SASSUOLO;BIONDINI Davide;2;13;5.81;5.61;0;0;5;0;0;0;0;0
C;CHIEVO;BIRSA Valter;3;35;6.07;6.77;7;9;5;0;0;0;1;0
